Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
Cas2_0_I-II-III	contig_1_1643	114	96	3e-17	59.9	1880683	1881024	contig_1	1643	0.7719298245614035	0.8958333333333334	-1
Cas2_11_CAS-I-II-III-IV-V-VI	contig_1_1643	114	71	7.1e-13	45.8	1880683	1881024	contig_1	1643	0.6578947368421053	0.971830985915493	-1
Cas2_5_CAS-I-II-III-IV-V-VI	contig_1_1643	114	116	8.1e-26	87.7	1880683	1881024	contig_1	1643	0.7719298245614035	0.7758620689655172	-1
Cas2_7_CAS-I-II-III-IV-V-VI	contig_1_1643	114	94	0.0042	14.7	1880683	1881024	contig_1	1643	0.5877192982456141	0.7127659574468085	-1
Cas2_9_CAS-I-II-III-IV-V-VI	contig_1_1643	114	101	1.5e-21	73.7	1880683	1881024	contig_1	1643	0.7719298245614035	0.8712871287128713	-1
Cas1_0_CAS-I-II-III-IV-V-VI	contig_1_1644	298	317	1.5e-45	152.9	1881058	1881951	contig_1	1644	0.9261744966442953	0.9810725552050473	-1
Cas1_0_IA	contig_1_1644	298	347	5.5e-10	35.8	1881058	1881951	contig_1	1644	0.6375838926174496	0.553314121037464	-1
Cas1_0_IC	contig_1_1644	298	340	2.9e-12	43.5	1881058	1881951	contig_1	1644	0.5973154362416108	0.5294117647058824	-1
Cas1_0_IE	contig_1_1644	298	269	1.2e-09	34.9	1881058	1881951	contig_1	1644	0.3087248322147651	0.3420074349442379	-1
Cas1_0_II	contig_1_1644	298	278	3.2000000000000003e-80	266.5	1881058	1881951	contig_1	1644	0.9261744966442953	0.9928057553956835	-1
Cas1_0_I-II-III	contig_1_1644	298	327	1.9999999999999998e-30	103.1	1881058	1881951	contig_1	1644	0.889261744966443	0.9327217125382263	-1
Cas1_0_I-II-III-V	contig_1_1644	298	315	8.5e-36	120.5	1881058	1881951	contig_1	1644	0.9026845637583892	0.9619047619047619	-1
Cas1_0_V	contig_1_1644	298	317	1.7e-12	44.2	1881058	1881951	contig_1	1644	0.47651006711409394	0.4921135646687697	-1
Cas1_1_CAS-I-II-III-IV-V-VI	contig_1_1644	298	261	1.7000000000000002e-27	93.5	1881058	1881951	contig_1	1644	0.7449664429530202	0.9386973180076629	-1
Cas1_3_CAS-I-II-III-IV-V-VI	contig_1_1644	298	262	4.7e-10	36.3	1881058	1881951	contig_1	1644	0.3087248322147651	0.3549618320610687	-1
Cas1_4_CAS-I-II-III-IV-V-VI	contig_1_1644	298	275	4.6e-79	262.6	1881058	1881951	contig_1	1644	0.9228187919463087	0.9927272727272727	-1
Cas1_5_CAS-I-II-III-IV-V-VI	contig_1_1644	298	338	1.7e-12	44.3	1881058	1881951	contig_1	1644	0.6006711409395973	0.5355029585798816	-1
Cas1_6_CAS-I-II-III-IV-V-VI	contig_1_1644	298	320	1.6e-12	44.5	1881058	1881951	contig_1	1644	0.8422818791946308	0.834375	-1
Cas1_7_CAS-I-II-III-IV-V-VI	contig_1_1644	298	328	9.999999999999999e-43	143.6	1881058	1881951	contig_1	1644	0.912751677852349	0.9298780487804879	-1
Cas1_8_CAS-I-II-III-IV-V-VI	contig_1_1644	298	283	2.2e-29	99.7	1881058	1881951	contig_1	1644	0.7953020134228188	0.9151943462897526	-1
Cas9_0_II-C2	contig_1_1670	208	967	2.7e-09	32.9	1910060	1910683	contig_1	1670	0.2403846153846154	0.05170630816959669	-1
Cas9_0_II-D	contig_1_1670	208	853	1.1e-14	51.0	1910060	1910683	contig_1	1670	0.2932692307692308	0.07033997655334115	-1
PD_DExK_0_CAS-I-B	contig_1_1697	218	231	0.019	11.5	1936530	1937183	contig_1	1697	0.23853211009174313	0.21645021645021645	1
Cmr5gr11_1_CAS-III-C	contig_1_1700	499	180	0.02	11.9	1938913	1940409	contig_1	1700	0.3226452905811623	0.5722222222222222	-1
RecD_0_IVD	contig_1_1701	258	763	0.018	10.3	1940458	1941231	contig_1	1701	0.11627906976744186	0.039318479685452164	-1
RecD_0_IVD	contig_1_1715	665	763	1.0999999999999999e-62	209.4	1954948	1956942	contig_1	1715	0.9263157894736842	0.7745740498034076	-1
CorA_0_CAS-III-B-III-D	contig_1_1718	456	551	7.5	2.3	1958274	1959641	contig_1	1718	0.2741228070175439	0.20871143375680581	1
AbiEii_0_CAS-III	contig_1_1721	427	284	0.00097	15.9	1961092	1962372	contig_1	1721	0.1288056206088993	0.18661971830985916	-1
AbiEii_0_CAS-III	contig_1_1740	305	284	0.011	12.4	1983563	1984477	contig_1	1740	0.2262295081967213	0.2605633802816901	-1
Cas3_1_I	contig_1_1755	529	178	0.021	12.1	1999947	2001533	contig_1	1755	0.06805293005671077	0.24157303370786518	-1
Cas3HD_0_CAS-I	contig_1_1755	529	203	0.00025	18.1	1999947	2001533	contig_1	1755	0.14744801512287334	0.39408866995073893	-1
Csm5gr7_1_CAS-III-A-III-D	contig_1_1755	529	369	0.03	11.2	1999947	2001533	contig_1	1755	0.2892249527410208	0.3821138211382114	-1
AbiEii_0_CAS-III	contig_1_1761	342	284	0.0085	12.8	2007832	2008857	contig_1	1761	0.14619883040935672	0.1936619718309859	-1
Csx21_1_CAS-III-A	contig_1_1781	155	104	0.0051	14.3	2037538	2038002	contig_1	1781	0.4258064516129032	0.6346153846153846	1
TPR_0_CAS-III-A	contig_1_1787	405	435	0.00058	16.1	2040620	2041834	contig_1	1787	0.4074074074074074	0.17011494252873563	-1
TPR_1_CAS-III-A	contig_1_1787	405	462	0.00038	16.4	2040620	2041834	contig_1	1787	0.4	0.45021645021645024	-1
Cas9_0_II-C2	contig_1_1788	98	967	1.8e-13	46.7	2041875	2042168	contig_1	1788	0.7551020408163265	0.07652533609100311	-1
Cas9_0_II	contig_1_1788	98	830	7.4e-08	28.3	2041875	2042168	contig_1	1788	0.8673469387755102	0.10722891566265061	-1
Cas9_0_II-D	contig_1_1788	98	853	1.2e-13	47.5	2041875	2042168	contig_1	1788	0.5408163265306123	0.06096131301289566	-1
PD_DExK_0_CAS-I-II-III-IV-V-VI	contig_1_1815	340	159	5.299999999999999e-54	179.6	2071527	2072546	contig_1	1815	0.7382352941176471	0.9622641509433962	1
PD_DExK_0_CAS-I-II-III-IV-V-VI	contig_1_1832	248	159	1.7e-64	213.7	2093497	2094240	contig_1	1832	0.6491935483870968	1.0	-1
Csm3gr7_11_CAS-III-A-III-D	contig_1_1860	164	216	0.014	12.0	2131995	2132486	contig_1	1860	0.3780487804878049	0.2777777777777778	-1
Cas3_0_CAS-I	contig_1_1865	869	353	4.9e-08	29.6	2137025	2139631	contig_1	1865	0.28308400460299193	0.7138810198300283	1
Cas3_0_I	contig_1_1865	869	358	8e-08	28.9	2137025	2139631	contig_1	1865	0.238204833141542	0.5921787709497207	1
Cas3_1_CAS-I-D	contig_1_1865	869	353	0.01	12.1	2137025	2139631	contig_1	1865	0.16800920598388952	0.40226628895184136	1
Csx3_2_CAS-I-III	contig_1_1871	579	277	0.012	11.9	2146841	2148577	contig_1	1871	0.08290155440414508	0.17328519855595667	1
Cas8b_0_IB	contig_1_1874	826	395	0.0013	15.1	2150932	2153409	contig_1	1874	0.11380145278450363	0.1848101265822785	-1
Cas12f1_2_CAS-V-F	contig_1_1899	197	429	0.049	9.8	2179177	2179767	contig_1	1899	0.14720812182741116	0.06526806526806526	-1
Cas12f2_1_CAS-V-F	contig_1_1899	197	422	0.035	10.3	2179177	2179767	contig_1	1899	0.14213197969543148	0.06398104265402843	-1
Cas10_0_IIIA	contig_1_1907	62	650	0.018	10.9	2183730	2183915	contig_1	1907	0.7580645161290323	0.07692307692307693	-1
Cas10_1_CAS-III	contig_1_1907	62	654	0.00039	16.3	2183730	2183915	contig_1	1907	0.7258064516129032	0.07186544342507645	-1
AbiEii_0_CAS-III	contig_1_1973	651	284	1.6e-09	34.9	2255342	2257294	contig_1	1973	0.21044546850998463	0.40492957746478875	-1
AbiEii_1_CAS-III-A	contig_1_1973	651	335	0.23	7.7	2255342	2257294	contig_1	1973	0.21505376344086022	0.3373134328358209	-1
Csx3_2_CAS-I-III	contig_1_1973	651	277	0.0052	13.1	2255342	2257294	contig_1	1973	0.07219662058371736	0.10108303249097472	-1
AbiEii_0_CAS-III	contig_1_1994	577	284	0.0017	15.2	2278391	2280121	contig_1	1994	0.17157712305025996	0.3380281690140845	-1
CasR_1_CAS-I-II-III-IV-V-VI	contig_1_1997	510	218	0.015	11.6	2282165	2283694	contig_1	1997	0.06274509803921569	0.14220183486238533	-1
Csx19_0_CAS-III-D	contig_1_2005	83	143	0.0087	13.2	2289838	2290086	contig_1	2005	0.5301204819277109	0.17482517482517482	-1
Csx3_2_CAS-I-III	contig_1_2015	646	277	0.0088	12.3	2296919	2298856	contig_1	2015	0.06346749226006192	0.148014440433213	-1
Cas3_0_CAS-I	contig_1_2038	900	353	7.6e-11	38.9	2328483	2331182	contig_1	2038	0.49333333333333335	0.8923512747875354	-1
Cas3_0_I	contig_1_2038	900	358	1.9e-10	37.5	2328483	2331182	contig_1	2038	0.36666666666666664	0.659217877094972	-1
Cas3_0_IU	contig_1_2038	900	864	0.0089	11.1	2328483	2331182	contig_1	2038	0.08222222222222222	0.0787037037037037	-1
Cas3_1_CAS-I	contig_1_2038	900	745	7.2e-33	111.0	2328483	2331182	contig_1	2038	0.59	0.614765100671141	-1
Cas3_1_I	contig_1_2038	900	178	4.9e-12	43.4	2328483	2331182	contig_1	2038	0.1922222222222222	0.5224719101123596	-1
Cas3-Cas2_0_CAS-I-F	contig_1_2038	900	1106	1.1e-136	454.4	2328483	2331182	contig_1	2038	0.9866666666666667	0.7929475587703436	-1
Cas3-Cas2_0_IF	contig_1_2038	900	1110	1.1e-135	451.1	2328483	2331182	contig_1	2038	0.9866666666666667	0.7936936936936937	-1
Cas3HD_0_CAS-I	contig_1_2038	900	203	2e-14	51.1	2328483	2331182	contig_1	2038	0.41333333333333333	0.9655172413793104	-1
Cas3HD_1_CAS-I	contig_1_2038	900	191	1.5e-08	31.9	2328483	2331182	contig_1	2038	0.1111111111111111	0.4607329842931937	-1
Cas3HD_2_CAS-I	contig_1_2038	900	231	1.7e-07	28.2	2328483	2331182	contig_1	2038	0.09888888888888889	0.3463203463203463	-1
Cas1_0_CAS-I-II-III-IV-V-VI	contig_1_2039	316	317	4.0000000000000004e-24	82.4	2331201	2332148	contig_1	2039	0.8259493670886076	0.7665615141955836	-1
Cas1_0_IA	contig_1_2039	316	347	3.7e-05	19.9	2331201	2332148	contig_1	2039	0.7658227848101266	0.6801152737752162	-1
Cas1_0_IE	contig_1_2039	316	269	1.2e-31	107.1	2331201	2332148	contig_1	2039	0.7088607594936709	0.8066914498141264	-1
Cas1_0_IF	contig_1_2039	316	307	4.8e-85	282.7	2331201	2332148	contig_1	2039	0.9778481012658228	0.996742671009772	-1
Cas1_0_I-II-III	contig_1_2039	316	327	1e-43	146.8	2331201	2332148	contig_1	2039	0.9462025316455697	0.8746177370030581	-1
Cas1_0_I-II-III-V	contig_1_2039	316	315	1.1e-13	47.9	2331201	2332148	contig_1	2039	0.8512658227848101	0.7904761904761904	-1
Cas1_1_CAS-I-II-III-IV-V-VI	contig_1_2039	316	261	3.8e-33	112.0	2331201	2332148	contig_1	2039	0.8354430379746836	0.9501915708812261	-1
Cas1_2_CAS-I-II-III-IV-V-VI	contig_1_2039	316	306	3.1999999999999997e-85	283.3	2331201	2332148	contig_1	2039	0.9778481012658228	0.9967320261437909	-1
Cas1_3_CAS-I-II-III-IV-V-VI	contig_1_2039	316	262	4.999999999999999e-32	108.4	2331201	2332148	contig_1	2039	0.7025316455696202	0.8206106870229007	-1
Cas1_6_CAS-I-II-III-IV-V-VI	contig_1_2039	316	320	5.1e-10	36.2	2331201	2332148	contig_1	2039	0.8987341772151899	0.846875	-1
Cas1_7_CAS-I-II-III-IV-V-VI	contig_1_2039	316	328	3.4e-42	141.9	2331201	2332148	contig_1	2039	0.9588607594936709	0.8719512195121951	-1
Cas1_8_CAS-I-II-III-IV-V-VI	contig_1_2039	316	283	5.1e-20	69.0	2331201	2332148	contig_1	2039	0.930379746835443	0.9787985865724381	-1
Cas6_0_IF	contig_1_2041	200	184	3.7e-18	63.3	2333874	2334473	contig_1	2041	0.975	1.0	-1
Cas6_3_IVA	contig_1_2041	200	192	5.6e-19	65.9	2333874	2334473	contig_1	2041	0.95	0.9427083333333334	-1
Cas6f_0_CAS-I-II-III-IV-V-VI	contig_1_2041	200	186	4.7e-19	66.2	2333874	2334473	contig_1	2041	0.98	0.9946236559139785	-1
Cas6f_1_CAS-I-II-III-IV-V-VI	contig_1_2041	200	185	2.7000000000000003e-28	96.5	2333874	2334473	contig_1	2041	0.98	0.9945945945945946	-1
Cas6f_2_CAS-I-II-III-IV-V-VI	contig_1_2041	200	185	4.5e-25	86.1	2333874	2334473	contig_1	2041	0.97	1.0	-1
Cas7f_0_CAS-I-F	contig_1_2042	376	340	5.000000000000001e-75	250.2	2334505	2335632	contig_1	2042	0.901595744680851	0.9882352941176471	-1
Cas7f_1_CAS-I-F	contig_1_2042	376	331	1.9e-87	290.9	2334505	2335632	contig_1	2042	0.898936170212766	0.9939577039274925	-1
Cas7f_2_CAS-I-F	contig_1_2042	376	326	7.6e-83	275.7	2334505	2335632	contig_1	2042	0.898936170212766	0.9969325153374233	-1
Csy3_0_IF	contig_1_2042	376	341	2.7e-74	247.7	2334505	2335632	contig_1	2042	0.901595744680851	0.9882697947214076	-1
Cas5f_0_CAS-I-F	contig_1_2043	283	261	2.1e-26	89.9	2335635	2336483	contig_1	2043	0.9611307420494699	0.9846743295019157	-1
Cas5f_1_CAS-I-F	contig_1_2043	283	293	6.2e-10	36.0	2335635	2336483	contig_1	2043	0.9151943462897526	0.9556313993174061	-1
Cas5f_2_CAS-I-F	contig_1_2043	283	291	5.4e-20	69.1	2335635	2336483	contig_1	2043	0.9257950530035336	0.9656357388316151	-1
Cas5f_3_CAS-I-F	contig_1_2043	283	293	4.6e-15	52.9	2335635	2336483	contig_1	2043	0.9222614840989399	0.9658703071672355	-1
Csy2_0_IF	contig_1_2043	283	296	2.2e-08	30.9	2335635	2336483	contig_1	2043	0.4416961130742049	0.41216216216216217	-1
Cas8f_0_CAS-I-F	contig_1_2044	411	422	9.9e-23	77.7	2336480	2337712	contig_1	2044	0.6277372262773723	0.5876777251184834	-1
Cas8f_1_CAS-I-F	contig_1_2044	411	458	7.8e-09	32.4	2336480	2337712	contig_1	2044	0.35036496350364965	0.31004366812227074	-1
Cas8f_4_CAS-I-F	contig_1_2044	411	450	5.6e-05	18.9	2336480	2337712	contig_1	2044	0.1873479318734793	0.17333333333333334	-1
AbiEii_0_CAS-III	contig_1_2050	352	284	5.7e-05	20.0	2342655	2343710	contig_1	2050	0.4005681818181818	0.49295774647887325	-1
AbiEii_0_CAS-III	contig_1_2078	547	284	3.1e-05	20.9	2372362	2374002	contig_1	2078	0.1809872029250457	0.31338028169014087	1
CasR_1_CAS-I-II-III-IV-V-VI	contig_1_2081	510	218	0.015	11.6	2375781	2377310	contig_1	2081	0.060784313725490195	0.13761467889908258	1
Cas12f1_0_CAS-V-F	contig_1_2086	455	512	2e-06	24.1	2379554	2380918	contig_1	2086	0.4747252747252747	0.412109375	1
Cas12f1_1_CAS-V-F	contig_1_2086	455	557	2.4e-11	40.1	2379554	2380918	contig_1	2086	0.4175824175824176	0.31956912028725315	1
Cas12f1_2_CAS-V-F	contig_1_2086	455	429	1.5999999999999999e-24	83.9	2379554	2380918	contig_1	2086	0.734065934065934	0.8041958041958042	1
Cas12f2_0_CAS-V-F	contig_1_2086	455	517	8.9e-33	110.8	2379554	2380918	contig_1	2086	0.6351648351648351	0.5203094777562862	1
Cas12f2_1_CAS-V-F	contig_1_2086	455	422	3.4e-46	155.3	2379554	2380918	contig_1	2086	0.8879120879120879	0.95260663507109	1
Cas12f2_2_CAS-V-F	contig_1_2086	455	493	1.1e-43	146.8	2379554	2380918	contig_1	2086	0.6879120879120879	0.6085192697768763	1
Cas12f3_0_CAS-V-F	contig_1_2086	455	496	7.5e-39	131.1	2379554	2380918	contig_1	2086	0.5252747252747253	0.4879032258064516	1
Cas12f7_0_CAS-V-F	contig_1_2086	455	566	5.5e-13	45.7	2379554	2380918	contig_1	2086	0.42857142857142855	0.3303886925795053	1
Cas12j_0_V-J	contig_1_2086	455	758	1.5e-07	26.9	2379554	2380918	contig_1	2086	0.45494505494505494	0.2691292875989446	1
Cas12m_0_V-M	contig_1_2086	455	577	1.5e-09	34.0	2379554	2380918	contig_1	2086	0.3120879120879121	0.2322357019064125	1
TnpB_0_Competitive	contig_1_2086	455	400	1.3e-41	140.0	2379554	2380918	contig_1	2086	0.8483516483516483	0.915	1
TnpB_1_Competitive	contig_1_2086	455	409	1.9e-44	149.2	2379554	2380918	contig_1	2086	0.8967032967032967	0.8850855745721271	1
AbiEii_0_CAS-III	contig_1_2088	362	284	0.0005	16.9	2381695	2382780	contig_1	2088	0.22375690607734808	0.20774647887323944	-1
Cas12f1_0_CAS-V-F	contig_1_2110	389	512	2.2e-07	27.2	2399146	2400312	contig_1	2110	0.5629820051413882	0.453125	1
Cas12f1_2_CAS-V-F	contig_1_2110	389	429	3.7e-15	53.0	2399146	2400312	contig_1	2110	0.8200514138817481	0.752913752913753	1
Cas12f2_0_CAS-V-F	contig_1_2110	389	517	1.7e-24	83.4	2399146	2400312	contig_1	2110	0.5681233933161953	0.4526112185686654	1
Cas12f2_1_CAS-V-F	contig_1_2110	389	422	1.9999999999999998e-42	142.9	2399146	2400312	contig_1	2110	0.7712082262210797	0.7345971563981043	1
Cas12f2_2_CAS-V-F	contig_1_2110	389	493	1.5000000000000002e-28	96.8	2399146	2400312	contig_1	2110	0.5475578406169666	0.4726166328600406	1
Cas12f3_0_CAS-V-F	contig_1_2110	389	496	9.000000000000001e-23	78.1	2399146	2400312	contig_1	2110	0.5886889460154242	0.5040322580645161	1
Cas12f7_0_CAS-V-F	contig_1_2110	389	566	2.3e-11	40.3	2399146	2400312	contig_1	2110	0.5295629820051414	0.3621908127208481	1
Cas12m_0_V-M	contig_1_2110	389	577	2.7e-09	33.2	2399146	2400312	contig_1	2110	0.455012853470437	0.3344887348353553	1
TnpB_0_Competitive	contig_1_2110	389	400	1.7e-40	136.3	2399146	2400312	contig_1	2110	0.6401028277634961	0.61	1
TnpB_1_Competitive	contig_1_2110	389	409	1.2e-45	153.2	2399146	2400312	contig_1	2110	0.5449871465295629	0.5036674816625917	1
Cas8b2_1_CAS-I-B	contig_1_2121	490	334	0.0085	12.5	2409488	2410957	contig_1	2121	0.35918367346938773	0.44011976047904194	-1
TniQ_1_I-F	contig_1_2131	117	400	0.00048	16.4	2416780	2417130	contig_1	2131	0.4188034188034188	0.1225	-1
Cas10_0_CAS-III-C	contig_1_2151	114	959	0.01	11.1	2430263	2430604	contig_1	2151	0.21929824561403508	0.026068821689259645	-1
Cas10_0_IIIC	contig_1_2151	114	953	0.033	8.9	2430263	2430604	contig_1	2151	0.21929824561403508	0.025183630640083946	-1
DEDDh_0_CAS-I-II-III-IV-V-VI	contig_1_2152	167	160	1.7e-09	35.2	2430610	2431110	contig_1	2152	0.8323353293413174	0.8	-1
CasR_0_CAS-III-B-III-D	contig_1_2165	554	255	0.023	11.4	2446334	2447995	contig_1	2165	0.15342960288808663	0.3254901960784314	-1
AbiEii_0_CAS-III	contig_1_2167	327	284	6.3e-07	26.4	2448724	2449704	contig_1	2167	0.30275229357798167	0.3380281690140845	-1
Csn2_7_CAS-II-A	contig_1_2167	327	372	1.2e-05	21.6	2448724	2449704	contig_1	2167	0.345565749235474	0.31989247311827956	-1
AbiEii_0_CAS-III	contig_1_2197	334	284	3.8e-06	23.8	2477135	2478136	contig_1	2197	0.3023952095808383	0.352112676056338	-1
AbiEii_0_CAS-III	contig_1_2200	390	284	0.00079	16.2	2481362	2482531	contig_1	2200	0.45384615384615384	0.528169014084507	-1
Csx3_2_CAS-I-III	contig_1_2209	237	277	0.017	11.4	2490410	2491120	contig_1	2209	0.12236286919831224	0.10469314079422383	1
Cas8b7_0_CAS-I-B	contig_1_2210	79	331	0.0038	13.6	2491362	2491598	contig_1	2210	0.379746835443038	0.09667673716012085	1
Csx3_2_CAS-I-III	contig_1_2229	282	277	0.018	11.3	2512496	2513341	contig_1	2229	0.1099290780141844	0.11913357400722022	-1
Cas6_9_CAS-I-II-III-IV-V-VI	contig_1_2233	488	206	0.0016	15.2	2517518	2518981	contig_1	2233	0.1864754098360656	0.4029126213592233	1
Csx3_2_CAS-I-III	contig_1_2311	502	277	0.002	14.5	2605347	2606852	contig_1	2311	0.18326693227091634	0.23104693140794225	-1
CorA_0_CAS-III-B-III-D	contig_1_2339	102	551	0.1	8.5	2641122	2641427	contig_1	2339	0.7549019607843137	0.11433756805807622	-1
CysH_0_IVB	contig_1_2353	523	249	7.8e-05	19.6	2655453	2657021	contig_1	2353	0.1491395793499044	0.30522088353413657	1
AbiEii_0_CAS-III	contig_1_2379	251	284	1.2e-05	22.2	2684542	2685294	contig_1	2379	0.2868525896414343	0.23943661971830985	1
Cas11_0_IV	contig_1_2396	586	114	0.0035	14.5	2701882	2703639	contig_1	2396	0.09385665529010238	0.4824561403508772	1
AbiEii_2_CAS-III-C	contig_1_2399	592	440	0.003	14.0	2706503	2708278	contig_1	2399	0.1097972972972973	0.14772727272727273	1
Mem_DnaJ_0_CAS-III-AM	contig_1_2453	373	284	0.0021	14.6	2760417	2761535	contig_1	2453	0.2386058981233244	0.323943661971831	-1
AbiEii_0_CAS-III	contig_1_2467	341	284	1.4e-06	25.2	2773135	2774157	contig_1	2467	0.2434017595307918	0.30633802816901406	1
AbiEii_0_CAS-III	contig_1_2475	248	284	0.0053	13.5	2780634	2781377	contig_1	2475	0.38306451612903225	0.31690140845070425	-1
Cas9_0_II-C2	contig_1_2483	429	967	6.2e-14	48.2	2789610	2790896	contig_1	2483	0.29836829836829837	0.12719751809720786	1
Cas9_0_II	contig_1_2483	429	830	0.00025	16.7	2789610	2790896	contig_1	2483	0.19347319347319347	0.10843373493975904	1
Cas9_0_II-D	contig_1_2483	429	853	1.3e-27	93.7	2789610	2790896	contig_1	2483	0.3916083916083916	0.21219226260257915	1
AbiEii_0_CAS-III	contig_1_2488	336	284	0.015	12.1	2795250	2796257	contig_1	2488	0.34226190476190477	0.3908450704225352	1
Csm2gr11_4_CAS-III-D	contig_1_2494	300	130	0.0097	13.0	2801064	2801963	contig_1	2494	0.2	0.36923076923076925	-1
