	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_389	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	389	460637	461098	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_390	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	390	461291	462076	1	C	K05896	segregation and condensation protein A								Segregation and condensation protein ScpA [PF02616.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_391	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	391	462045	463106	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_392	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	392	463410	463853	1	C	K02871	large subunit ribosomal protein L13								Ribosomal protein L13 [PF00572.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_393	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	393	463881	464276	1	C	K02996	small subunit ribosomal protein S9								Ribosomal protein S9/S16 [PF00380.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_394	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	394	464528	465313	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_395	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	395	465319	466119	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_396	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	396	466100	467080	-1	C	K25156	viologen exporter family transport system ATP-binding protein								ABC transporter [PF00005.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_397	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	397	467082	469151	-1	D										Condensation domain [PF00668.23]; Phosphopantetheine attachment site [PF00550.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_398	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	398	469227	470816	-1	C	K01255	leucyl aminopeptidase [EC:3.4.11.1]	MER0151279	M17	MER0151279 - PepA aminopeptidase (Rickettsia montanensis) [M17.003]#M17#{peptidase unit: 17-496}~source YP_005391906~	False	0.344	264.0	6.521e-74	Cytosol aminopeptidase family, catalytic domain [PF00883.24]; Cytosol aminopeptidase family, N-terminal domain [PF02789.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_399	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	399	470850	471734	1	D										Transglycosylase [PF00912.25]	GT51	GT51 murein polymerase (EC 2.4.1.129).	2.4.1.129	GT51.hmm	0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_400	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	400	471907	472758	1	C	K02030	polar amino acid transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 3 [PF00497.23]; Ligated ion channel L-glutamate- and glycine-binding site [PF10613.12]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_401	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	401	472828	473793	1	C	K07019	uncharacterized protein	MER0040823	S33	MER0040823 - YheT protein ({Escherichi coli}) (Legionella pneumophila) [S33.A46]#S33#{peptidase unit: 1-327}~source YP_001250366~	False	0.5	296.0	5.205e-88	Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; BD-FAE [PF20434.1]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_402	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	402	473880	474251	1	D										Bacterial regulatory proteins, gntR family [PF00392.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_403	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	403	474257	474976	1	D										ABC transporter [PF00005.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_404	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	404	474973	476052	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_405	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	405	476105	476911	1	D										Carbon-nitrogen hydrolase [PF00795.25]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_406	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	406	477179	477829	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_407	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	407	477833	478285	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_408	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	408	478287	478538	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_409	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	409	478939	480276	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_410	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	410	480285	480785	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_411	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	411	481551	481979	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_412	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	412	481995	483929	-1	D										Domain of unknown function (DUF4105) [PF13387.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_413	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	413	483932	484462	-1	D										Protein of unknown function (DUF3015) [PF11220.11]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_414	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	414	484491	484985	-1	D										Protein of unknown function (DUF3015) [PF11220.11]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_415	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	415	485121	485801	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_416	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	416	486596	488509	-1	C	K04043	molecular chaperone DnaK								Hsp70 protein [PF00012.23]; MreB/Mbl protein [PF06723.16]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_417	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	417	488782	489450	1	C	K03975	membrane-associated protein								SNARE associated Golgi protein [PF09335.14]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_418	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	418	489481	490164	1	D			MER0897115	M50B	MER0897115 - subfamily M50B non-peptidase homologues (Legionella massiliensis) [M50.UNB]#M50B#{peptidase unit: 9-211}~source A0A078L3W3~	False	0.321	83.0	1.424e-16						0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_419	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	419	490164	491231	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_420	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	420	491248	492612	-1	D										Tetratricopeptide repeat [PF13429.9]; Response regulator receiver domain [PF00072.27]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_421	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	421	492720	493637	1	C	K03409	chemotaxis protein CheX								Chemotaxis phosphatase CheX [PF13690.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_422	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	422	493699	494622	-1	C	K02406	flagellin								Bacterial flagellin N-terminal helical region [PF00669.23]; Bacterial flagellin C-terminal helical region [PF00700.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_423	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	423	494857	495819	-1	C	K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]								Nitronate monooxygenase [PF03060.18]; FMN-dependent dehydrogenase [PF01070.21]; IMP dehydrogenase / GMP reductase domain [PF00478.28]; Dihydroorotate dehydrogenase [PF01180.24]; Conserved region in glutamate synthase [PF01645.20]; Histidine biosynthesis protein [PF00977.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_424	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	424	495852	496055	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_425	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	425	496052	496867	-1	D										Enoyl-CoA hydratase/isomerase [PF00378.23]; Enoyl-CoA hydratase/isomerase [PF16113.8]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_426	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	426	496889	497710	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_427	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	427	497864	498529	-1	C	K06024	segregation and condensation protein B								Segregation and condensation complex subunit ScpB [PF04079.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_428	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	428	498548	499108	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_429	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	429	499250	500224	-1	C	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]								Formyl transferase [PF00551.22]; Formyl transferase, C-terminal domain [PF02911.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_430	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	430	500301	500798	-1	C	K00950	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]								7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK) [PF01288.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_431	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	431	501206	502153	1	D										SpoU rRNA Methylase family [PF00588.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_432	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	432	502186	503103	1	C	K05810	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]								Multi-copper polyphenol oxidoreductase laccase [PF02578.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_433	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	433	503121	503651	1	C	K03073	preprotein translocase subunit SecE								SecE/Sec61-gamma subunits of protein translocation complex [PF00584.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_434	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	434	503689	504309	1	C	K02601	transcription termination/antitermination protein NusG								Transcription termination factor nusG [PF02357.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_435	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	435	504432	504818	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_436	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	436	504844	506019	1	D										Response regulator receiver domain [PF00072.27]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]; Tetratricopeptide repeat [PF13432.9]; Tetratricopeptide repeat [PF14559.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_437	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	437	506112	507899	1	C	K00803	alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]								FAD binding domain [PF01565.26]; FAD linked oxidases, C-terminal domain [PF02913.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_438	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	438	507789	508631	-1	C	K07124	uncharacterized protein								short chain dehydrogenase [PF00106.28]; Enoyl-(Acyl carrier protein) reductase [PF13561.9]; NAD dependent epimerase/dehydratase family [PF01370.24]; KR domain [PF08659.13]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_439	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	439	508591	509463	-1	D										Acyltransferase [PF01553.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_440	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	440	509640	510530	1	D										Putative ParB-like nuclease [PF08857.14]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_441	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	441	510717	512420	1	D										Putative ParB-like nuclease [PF08857.14]; Inositol hexakisphosphate [PF14566.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_442	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	442	512428	513903	-1	C	K13356	alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]								Male sterility protein [PF07993.15]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_443	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	443	514061	515077	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_444	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	444	515225	515527	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_445	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	445	515524	518790	1	D										Aminotransferase class I and II [PF00155.24]; Methyltransferase small domain [PF05175.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_446	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	446	518830	520758	1	C	K01895	acetyl-CoA synthetase [EC:6.2.1.1]								AMP-binding enzyme [PF00501.31]; AMP-binding enzyme C-terminal domain [PF13193.9]; Acetyl-coenzyme A synthetase N-terminus [PF16177.8]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_447	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	447	520755	521864	-1	D										Response regulator receiver domain [PF00072.27]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; GHKL domain [PF14501.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_448	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	448	522265	523272	1	C	K01914	aspartate--ammonia ligase [EC:6.3.1.1]								Aspartate-ammonia ligase [PF03590.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_449	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	449	523481	527602	1	D										REase_MTES_1575 [PF18741.4]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_450	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	450	527629	529539	1	D										FAD binding domain [PF00890.27]; Fumarate reductase flavoprotein C-term [PF02910.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_451	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	451	529584	529814	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_452	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	452	529964	530374	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_453	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	453	530662	532236	1	D										Peptidase family S41 [PF03572.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_454	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	454	532348	533901	1	D										Peptidase family S41 [PF03572.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_455	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	455	534190	534651	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_456	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	456	534702	535283	1	C	K07494	putative transposase								DDE superfamily endonuclease [PF13358.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_457	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	457	535388	536302	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_458	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	458	536382	538724	-1	D										Helicase conserved C-terminal domain [PF00271.34]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_459	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	459	538830	539273	1	C	K03075	preprotein translocase subunit SecG								Preprotein translocase SecG subunit [PF03840.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_460	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	460	539281	540474	-1	C	K00632	acetyl-CoA acyltransferase [EC:2.3.1.16]								Thiolase, N-terminal domain [PF00108.26]; Thiolase, C-terminal domain [PF02803.21]; Beta-ketoacyl synthase, N-terminal domain [PF00109.29]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_461	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	461	540491	542869	-1	C	K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]								3-hydroxyacyl-CoA dehydrogenase, NAD binding domain [PF02737.21]; Enoyl-CoA hydratase/isomerase [PF00378.23]; 3-hydroxyacyl-CoA dehydrogenase, C-terminal domain [PF00725.25]; Enoyl-CoA hydratase/isomerase [PF16113.8]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_462	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	462	543026	543385	-1	C	K07171	mRNA interferase MazF [EC:3.1.-.-]								PemK-like, MazF-like toxin of type II toxin-antitoxin system [PF02452.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_463	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	463	543465	547127	-1	C	K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]								Bacterial DNA polymerase III alpha NTPase domain [PF07733.15]; Bacterial DNA polymerase III alpha subunit finger domain [PF17657.4]; PHP domain [PF02811.22]; Helix-hairpin-helix motif [PF14579.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_464	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	464	547160	547759	-1	C	K09804	uncharacterized protein								Protein of unknown function (DUF507) [PF04368.16]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_465	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	465	547859	548896	-1	D										Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]; TPR repeat [PF13414.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_466	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	466	548893	549462	-1	C	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]								Conserved hypothetical protein 95 [PF03602.18]; S-adenosylmethionine-dependent methyltransferase [PF10672.12]; Methyltransferase small domain [PF05175.17]; tRNA (Uracil-5-)-methyltransferase [PF05958.14]; Putative RNA methylase family UPF0020 [PF01170.21]; RNA cap guanine-N2 methyltransferase [PF09445.13]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.16]; Met-10+ like-protein [PF02475.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_467	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	467	549486	550364	-1	D										Amino-transferase class IV [PF01063.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_468	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	468	550456	550983	-1	C	K07496	putative transposase													0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_469	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	469	551699	553273	1	D										Sigma-54 interaction domain [PF00158.29]; Sigma-54 interaction domain [PF14532.9]; Sensory domain found in PocR [PF10114.12]; Bacterial regulatory protein, Fis family [PF02954.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_470	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	470	553406	553927	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_471	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	471	554017	554844	1	D										Transposase DDE domain [PF13612.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_472	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	472	554987	555400	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_473	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	473	555414	556370	-1	D			MER0803269	I87	MER0803269 - family I87 unassigned peptidase inhibitors (Cystobacter fuscus) [I87.UPW]#I87#{inhibitor unit: 32-230}~source S9QVW9~	False	0.495	184.0	9.214e-50	SPFH domain / Band 7 family [PF01145.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_474	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	474	556367	557254	-1	D			MER0809111	I87	MER0809111 - family I87 unassigned peptidase inhibitors (Thiorhodococcus sp. AK35) [I87.UPW]#I87#{inhibitor unit: 18-283}~source W9VEE5~	False	0.266	98.0	1.211e-20	SPFH domain / Band 7 family [PF01145.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_475	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	475	557275	559350	-1	C	K01992	ABC-2 type transport system permease protein								Sulfate permease family [PF00916.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_476	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	476	559389	559817	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_477	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	477	560041	560991	1	C	K05794	tellurite resistance protein TerC								Integral membrane protein TerC family [PF03741.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_478	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	478	561000	562214	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_479	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	479	562460	563107	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_480	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	480	563328	564509	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_481	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	481	564517	565329	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_482	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	482	565474	566190	1	C	K00989	ribonuclease PH [EC:2.7.7.56]								3' exoribonuclease family, domain 1 [PF01138.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_483	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	483	566198	567568	1	D										Phosphofructokinase [PF00365.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_484	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	484	567618	569669	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; GHKL domain [PF14501.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_485	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	485	569666	571018	-1	D			MER0177840	M103	MER0177840 - family M103 unassigned peptidases (Cyanothece sp. PCC 8802) [M103.UPW]#M103#{peptidase unit: 1-446}~source ZP_03145714~	True	0.467	380.0	8.702e-115	PmbA/TldA metallopeptidase C-terminal domain [PF19289.2]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_486	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	486	571040	572500	-1	C	K03568	TldD protein	MER0498927	M103	MER0498927 - TldD peptidase ({Escherichia coli}) (Thermosynechococcus sp. NK55a) [M103.001]#M103#{peptidase unit: 44-478}~source YP_008901079~	True	0.66	570.0	1.129e-179	PmbA/TldA metallopeptidase C-terminal domain [PF19289.2]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_487	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	487	572529	573263	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_488	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	488	573341	575152	-1	C	K01876	aspartyl-tRNA synthetase [EC:6.1.1.12]								tRNA synthetases class II (D, K and N) [PF00152.23]; GAD domain [PF02938.17]; OB-fold nucleic acid binding domain [PF01336.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_489	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	489	575304	576050	-1	C	K00554	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]								tRNA (Guanine-1)-methyltransferase [PF01746.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_490	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	490	576047	576607	-1	C	K02860	16S rRNA processing protein RimM								RimM N-terminal domain [PF01782.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_491	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	491	576604	576963	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_492	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	492	577071	578060	1	D										NUDIX domain [PF00293.31]; HIT domain [PF01230.26]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_493	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	493	578165	579505	1	C	K00425	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]								Cytochrome bd terminal oxidase subunit I [PF01654.20]					0
