# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Spiro2_03395        K02911   22.53   68.0   1.5e-19 large subunit ribosomal protein L32
* Spiro2_03405        K01775  118.73  314.3   2.2e-94 alanine racemase [EC:5.1.1.1]
* Spiro2_03410        K07568  179.67  365.6  4.4e-110 S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
* Spiro2_03415        K00773  527.70  561.7  1.9e-169 queuine tRNA-ribosyltransferase [EC:2.4.2.29]
* Spiro2_03445        K03413  139.13  143.4   1.4e-42 two-component system, chemotaxis family, chemotaxis protein CheY
* Spiro2_03480        K00631  458.17  602.7    2e-181 glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
* Spiro2_03485        K01918   52.80  198.4   2.6e-59 pantoate--beta-alanine ligase [EC:6.3.2.1]
* Spiro2_03490        K01918   52.80   74.3   1.3e-21 pantoate--beta-alanine ligase [EC:6.3.2.1]
* Spiro2_03505        K03720   70.67   81.8     7e-24 TrpR family transcriptional regulator, trp operon repressor
* Spiro2_03510        K00949   43.30   50.0   3.4e-14 thiamine pyrophosphokinase [EC:2.7.6.2]
* Spiro2_03525        K06999   92.33  129.0   3.2e-38 phospholipase/carboxylesterase
* Spiro2_03530        K03665  216.93  519.5    3e-156 GTPase
* Spiro2_03540        K00075   65.60  270.5   3.8e-81 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
* Spiro2_03550        K03214  213.10  331.2  9.3e-100 RNA methyltransferase, TrmH family [EC:2.1.1.-]
* Spiro2_03555        K09912  101.77  126.3   2.2e-37 uncharacterized protein
* Spiro2_03575        K00575  185.83  264.1   4.5e-79 chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
* Spiro2_03585        K00981   51.23  181.1   5.4e-54 phosphatidate cytidylyltransferase [EC:2.7.7.41]
* Spiro2_03635        K07491   16.23   70.5     3e-20 REP-associated tyrosine transposase
* Spiro2_03640        K07496   25.43  256.8   7.5e-77 putative transposase
* Spiro2_03660        K02357   71.90  353.3  4.7e-106 elongation factor Ts
* Spiro2_03665        K02967  151.37  375.4  6.3e-113 small subunit ribosomal protein S2
* Spiro2_03670        K01868  152.83  869.6  4.6e-262 threonyl-tRNA synthetase [EC:6.1.1.3]
* Spiro2_03715        K03644  127.03  462.2  3.8e-139 lipoyl synthase [EC:2.8.1.8]
* Spiro2_03720        K02039  125.00  145.6     3e-43 phosphate transport system protein
* Spiro2_03735        K02387   71.80  109.1   3.3e-32 flagellar basal-body rod protein FlgB
* Spiro2_03740        K02388   69.17  173.5   7.6e-52 flagellar basal-body rod protein FlgC
* Spiro2_03745        K02408   32.53   91.2   1.5e-26 flagellar hook-basal body complex protein FliE
* Spiro2_03750        K02409  128.67  430.6  1.5e-129 flagellar M-ring protein FliF
* Spiro2_03760        K11901  135.40  169.0   1.6e-50 type VI secretion system protein ImpB
* Spiro2_03765        K11900  524.77  619.5    1e-186 type VI secretion system protein ImpC
* Spiro2_03780        K11896  192.37  203.6   7.2e-61 type VI secretion system protein ImpG
* Spiro2_03790        K11902  123.03  162.8   2.7e-48 type VI secretion system protein ImpA
* Spiro2_03800        K15268  159.60  309.6   3.4e-93 O-acetylserine/cysteine efflux transporter
* Spiro2_03815        K11904   70.97  153.9   7.4e-46 type VI secretion system secreted protein VgrG
* Spiro2_03825        K11892   86.80   94.3   1.5e-27 type VI secretion system protein ImpK
* Spiro2_03830        K11893  123.13  190.6   5.3e-57 type VI secretion system protein ImpJ
* Spiro2_03850        K00228   66.47  309.1   5.7e-93 coproporphyrinogen III oxidase [EC:1.3.3.3]
* Spiro2_03855        K02198  475.50  580.7  6.1e-175 cytochrome c-type biogenesis protein CcmF
* Spiro2_03855        K02200   20.53   45.1   1.8e-12 cytochrome c-type biogenesis protein CcmH
* Spiro2_03870        K00820  181.60  237.1   5.2e-71 glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
* Spiro2_03875        K04774  184.50  427.2  5.3e-129 serine protease SohB [EC:3.4.21.-]
* Spiro2_03880        K04084  255.13  385.6  6.6e-116 thioredoxin:protein disulfide reductase [EC:1.8.4.16]
* Spiro2_03880        K06196  130.30  151.5   4.2e-45 cytochrome c-type biogenesis protein
* Spiro2_03885        K15633   75.63  563.0  8.1e-170 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
* Spiro2_03900        K06041  161.43  295.0   1.6e-88 arabinose-5-phosphate isomerase [EC:5.3.1.13]
* Spiro2_03915        K01139  804.83  916.9  1.4e-276 GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]
* Spiro2_03950        K07484   19.23   23.8   3.5e-06 transposase
* Spiro2_03980        K01006  366.27 1392.0         0 pyruvate, orthophosphate dikinase [EC:2.7.9.1]
* Spiro2_03985        K02429  150.00  460.9  5.5e-139 MFS transporter, FHS family, L-fucose permease
* Spiro2_03990        K04758   39.73   73.0   4.3e-21 ferrous iron transport protein A
* Spiro2_03995        K04759  101.97  766.5  3.7e-231 ferrous iron transport protein B
* Spiro2_04010        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_04040        K00891  130.63  150.0   1.8e-44 shikimate kinase [EC:2.7.1.71]
* Spiro2_04045        K01674  243.70  260.9   3.4e-78 carbonic anhydrase [EC:4.2.1.1]
* Spiro2_04050        K18676  184.00  300.7     2e-90 glucosamine kinase [EC:2.7.1.8]
* Spiro2_04055        K01443  131.50  390.6  2.1e-117 N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
* Spiro2_04070        K02435   25.23   55.9   6.3e-16 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]
* Spiro2_04075        K02433  446.30  547.5  8.2e-165 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
* Spiro2_04075        K01426  294.17  328.4   1.4e-98 amidase [EC:3.5.1.4]
* Spiro2_04080        K02434  423.77  642.2  1.4e-193 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
* Spiro2_04105        K09768   56.23  205.7   9.3e-62 uncharacterized protein
* Spiro2_04110        K06020  677.27  876.4  1.2e-264 energy-dependent translational throttle protein EttA
* Spiro2_04115        K00721  175.23  255.9   8.3e-77 dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
* Spiro2_04120        K00278  540.07  759.6  4.8e-229 L-aspartate oxidase [EC:1.4.3.16]
* Spiro2_04125        K07337   55.30  175.9   9.7e-53 penicillin-binding protein activator
* Spiro2_04130        K02838   28.20  227.2   2.8e-68 ribosome recycling factor
* Spiro2_04135        K09007  196.80  297.5   1.3e-89 GTP cyclohydrolase IB [EC:3.5.4.16]
* Spiro2_04145        K07098   87.40  121.9   4.2e-36 uncharacterized protein
* Spiro2_04150        K07098   87.40  110.4   1.3e-32 uncharacterized protein
* Spiro2_04155        K02460   51.80  144.5   7.9e-43 general secretion pathway protein K
* Spiro2_04160        K02459   62.17   77.7   1.6e-22 general secretion pathway protein J
* Spiro2_04175        K02456   84.10   87.2   2.4e-25 general secretion pathway protein G
* Spiro2_04190        K02453  321.33  433.4  2.9e-130 general secretion pathway protein D
* Spiro2_04195        K02452   56.30   88.7   6.5e-26 general secretion pathway protein C
* Spiro2_04200        K02452   56.30  112.3     4e-33 general secretion pathway protein C
* Spiro2_04205        K07315  144.10  177.3   6.4e-53 phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
* Spiro2_04210        K03406   58.43  130.8   9.8e-39 methyl-accepting chemotaxis protein
* Spiro2_04230        K03555  679.87  919.7  4.4e-277 DNA mismatch repair protein MutS
* Spiro2_04235        K06207  360.97  898.0  4.7e-271 GTP-binding protein
* Spiro2_04250        K00161  430.93  440.7  1.1e-132 pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
* Spiro2_04255        K00162  485.80  511.4  2.2e-154 pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
* Spiro2_04260        K00627  467.80  470.0  1.3e-141 pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]
* Spiro2_04265        K06178  254.37  294.7   2.6e-88 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
* Spiro2_04275        K26392  251.63  263.2     7e-79 stomatin-like protein 2
* Spiro2_04280        K00797  103.50  212.6   1.5e-63 spermidine synthase [EC:2.5.1.16]
* Spiro2_04295        K03406   58.43  191.6   3.6e-57 methyl-accepting chemotaxis protein
* Spiro2_04300        K03406   58.43  214.9   3.3e-64 methyl-accepting chemotaxis protein
* Spiro2_04305        K03406   58.43  179.1   2.2e-53 methyl-accepting chemotaxis protein
* Spiro2_04310        K09478  515.53  618.6  1.2e-186 short-chain 2-methylacyl-CoA dehydrogenase [EC:1.3.8.5]
* Spiro2_04315        K03210   35.23   92.7   4.7e-27 preprotein translocase subunit YajC
* Spiro2_04320        K03072  193.63  458.4    7e-138 preprotein translocase subunit SecD
* Spiro2_04330        K07462   64.80  591.9  4.6e-178 single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
* Spiro2_04350        K00111  150.67  292.2   1.1e-87 glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
* Spiro2_04355        K04487  280.90  374.9  7.8e-113 cysteine desulfurase [EC:2.8.1.7]
* Spiro2_04365        K03424   93.63  137.5   9.8e-41 TatD DNase family protein [EC:3.1.21.-]
* Spiro2_04375        K00797  103.50  106.6   2.1e-31 spermidine synthase [EC:2.5.1.16]
* Spiro2_04380        K03797  130.13  277.2   3.9e-83 carboxyl-terminal processing protease [EC:3.4.21.102]
* Spiro2_04385        K03711  145.33  154.3   6.8e-46 Fur family transcriptional regulator, ferric uptake regulator
* Spiro2_04390        K00873   75.73  233.3     7e-70 pyruvate kinase [EC:2.7.1.40]
* Spiro2_04395        K07029  137.77  173.9   6.8e-52 diacylglycerol kinase (ATP) [EC:2.7.1.107]
* Spiro2_04405        K03406   58.43  140.2   1.3e-41 methyl-accepting chemotaxis protein
* Spiro2_04410        K03406   58.43  114.0   1.2e-33 methyl-accepting chemotaxis protein
* Spiro2_04435        K02231   44.07  166.9   8.4e-50 adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
* Spiro2_04440        K00683  107.77  160.2   1.1e-47 glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
* Spiro2_04445        K03787  156.93  233.5   6.2e-70 5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]
* Spiro2_04450        K01843  354.80  403.3    2e-121 lysine 2,3-aminomutase [EC:5.4.3.2]
* Spiro2_04465        K02032  389.40  483.7  1.8e-145 peptide/nickel transport system ATP-binding protein
* Spiro2_04470        K02031  426.77  473.4  2.1e-142 peptide/nickel transport system ATP-binding protein
* Spiro2_04475        K15582  364.47  397.7  4.7e-120 oligopeptide transport system permease protein
* Spiro2_04475        K02034  160.37  340.4  2.6e-102 peptide/nickel transport system permease protein
* Spiro2_04480        K15581  360.40  403.6  1.2e-121 oligopeptide transport system permease protein
* Spiro2_04480        K02033  273.53  352.3    8e-106 peptide/nickel transport system permease protein
* Spiro2_04485        K15580  353.07  490.2  1.6e-147 oligopeptide transport system substrate-binding protein
* Spiro2_04485        K02035  245.87  302.2   1.2e-90 peptide/nickel transport system substrate-binding protein
* Spiro2_04495        K00548  258.67 1155.6         0 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
* Spiro2_04505        K24042  362.50  696.2  4.1e-210 methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54]
* Spiro2_04520        K08309  128.17  230.1   1.3e-68 soluble lytic murein transglycosylase [EC:4.2.2.-]
* Spiro2_04525        K02041  270.17  343.4    2e-103 phosphonate transport system ATP-binding protein [EC:7.3.2.2]
* Spiro2_04530        K02042  124.50  277.0   4.3e-83 phosphonate transport system permease protein
* Spiro2_04555        K04488  141.67  142.0   2.9e-42 nitrogen fixation protein NifU and related proteins
* Spiro2_04560        K09013  160.00  349.8  1.4e-105 Fe-S cluster assembly ATP-binding protein
* Spiro2_04565        K09014  372.87  811.5  7.5e-245 Fe-S cluster assembly protein SufB
* Spiro2_04580        K09767   91.90  199.8   3.8e-60 cyclic-di-GMP-binding protein
* Spiro2_04605        K08307  134.27  354.3    2e-106 membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
* Spiro2_04630        K06921   89.67  216.2   1.7e-64 uncharacterized protein
* Spiro2_04635        K05770   26.90   98.6   7.6e-29 translocator protein
* Spiro2_04640        K07496   25.43  226.4   1.2e-67 putative transposase
* Spiro2_04645        K09131   30.67   81.0   1.7e-23 uncharacterized protein
* Spiro2_04660        K03446  350.63  531.6  2.6e-160 MFS transporter, DHA2 family, multidrug resistance protein
* Spiro2_04670        K01933  184.77  420.0  2.5e-126 phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
* Spiro2_04680        K01945  130.60  319.8   4.7e-96 phosphoribosylamine---glycine ligase [EC:6.3.4.13]
* Spiro2_04680        K01923  172.83  276.5   5.7e-83 phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
* Spiro2_04690        K01589  269.80  388.3    8e-117 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
* Spiro2_04695        K01588  114.47  246.9   4.2e-74 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
* Spiro2_04700        K00764  193.03  612.3  1.8e-184 amidophosphoribosyltransferase [EC:2.4.2.14]
* Spiro2_04705        K23269  728.30  800.1  4.8e-241 phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]
* Spiro2_04710        K23265  211.23  215.5   1.4e-64 phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]
* Spiro2_04715        K01756  305.37  383.5  3.8e-115 adenylosuccinate lyase [EC:4.3.2.2]
* Spiro2_04725        K07498   48.93  110.8   1.3e-32 putative transposase
* Spiro2_04745        K03465   63.00  181.2   4.4e-54 thymidylate synthase (FAD) [EC:2.1.1.148]
* Spiro2_04750        K02406  135.40  333.1  3.9e-100 flagellin
* Spiro2_04765        K02167  124.60  126.6   1.9e-37 TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes
* Spiro2_04775        K03406   58.43  156.4   1.7e-46 methyl-accepting chemotaxis protein
* Spiro2_04790        K00826  181.90  388.0  8.7e-117 branched-chain amino acid aminotransferase [EC:2.6.1.42]
* Spiro2_04815        K06884   16.07   29.3   1.6e-07 uncharacterized protein
* Spiro2_04885        K02030   87.27   98.0   8.3e-29 polar amino acid transport system substrate-binding protein
* Spiro2_04890        K02410   67.63  333.7  2.9e-100 flagellar motor switch protein FliG
* Spiro2_04905        K02413   34.00   56.9   3.6e-16 flagellar protein FliJ
* Spiro2_04920        K07001   92.03  118.0   7.1e-35 NTE family protein
* Spiro2_04935        K03554   90.40   94.6   8.4e-28 recombination associated protein RdgC
* Spiro2_04940        K03564  159.63  194.6   4.2e-58 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
* Spiro2_04945        K20656  165.83  266.0   1.2e-79 plasmanylethanolamine desaturase [EC:1.14.19.77]
* Spiro2_04950        K21929   36.33   41.4   1.9e-11 uracil-DNA glycosylase [EC:3.2.2.27]
* Spiro2_04955        K03545   70.37  320.9   2.6e-96 trigger factor
* Spiro2_04965        K01870  465.40 1034.1         0 isoleucyl-tRNA synthetase [EC:6.1.1.5]
* Spiro2_04970        K03100  111.43  159.3   1.5e-47 signal peptidase I [EC:3.4.21.89]
* Spiro2_04975        K02986   70.37  164.9   4.8e-49 small subunit ribosomal protein S4
* Spiro2_05000        K02518   43.67   85.0   6.4e-25 translation initiation factor IF-1
* Spiro2_05005        K07456  282.80  511.0  9.3e-154 DNA mismatch repair protein MutS2
* Spiro2_05010        K06949   87.33  281.6   1.5e-84 ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
* Spiro2_05025        K09797   95.63  246.3   3.8e-74 uncharacterized protein
* Spiro2_05030        K07146  190.23  399.3  2.9e-120 UPF0176 protein
* Spiro2_05065        K01810  180.90  186.7   9.2e-56 glucose-6-phosphate isomerase [EC:5.3.1.9]
* Spiro2_05070        K03778  350.93  508.1  2.1e-153 D-lactate dehydrogenase [EC:1.1.1.28]
* Spiro2_05080        K07164   74.00  102.9   2.5e-30 uncharacterized protein
* Spiro2_05085        K00058  329.00  430.9    1e-129 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
* Spiro2_05120        K02551  335.13  355.4  1.1e-106 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
* Spiro2_05125        K01872  197.30  615.4  3.2e-185 alanyl-tRNA synthetase [EC:6.1.1.7]
* Spiro2_05130        K01872  197.30  269.8   8.1e-81 alanyl-tRNA synthetase [EC:6.1.1.7]
* Spiro2_05135        K03980  198.87  254.5   2.7e-76 putative peptidoglycan lipid II flippase
* Spiro2_05150        K08968   93.63  156.9   9.9e-47 L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
* Spiro2_05160        K01669  356.37  459.5  3.3e-138 deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
* Spiro2_05170        K04568  304.77  310.2   2.5e-93 elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]
* Spiro2_05185        K09950   53.70  110.8   1.2e-32 uncharacterized protein
* Spiro2_05190        K03406   58.43  166.5   1.5e-49 methyl-accepting chemotaxis protein
* Spiro2_05215        K00208  270.53  389.3  3.2e-117 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
* Spiro2_05225        K11720  216.73  237.7     3e-71 lipopolysaccharide export system permease protein
* Spiro2_05235        K00134  407.63  511.2  3.2e-154 glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
* Spiro2_05240        K01921  143.50  188.3   3.2e-56 D-alanine-D-alanine ligase [EC:6.3.2.4]
* Spiro2_05250        K03575  151.13  331.3   1.6e-99 A/G-specific adenine glycosylase [EC:3.2.2.31]
* Spiro2_05265        K04564   55.77  125.5     4e-37 superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
* Spiro2_05280        K22083  263.07  274.9   1.8e-82 methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]
* Spiro2_05305        K00263  470.77  493.0  1.3e-148 leucine dehydrogenase [EC:1.4.1.9]
* Spiro2_05315        K00626  353.63  548.1  4.3e-165 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* Spiro2_05335        K03762  454.60  467.0  1.2e-140 MFS transporter, MHS family, proline/betaine transporter
* Spiro2_05340        K15012  147.33  178.6   2.7e-53 two-component system, response regulator RegA
* Spiro2_05345        K15011  199.83  233.7     5e-70 two-component system, sensor histidine kinase RegB [EC:2.7.13.3]
* Spiro2_05355        K03216   96.17  211.7   9.7e-64 tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]
* Spiro2_05360        K03978   95.40  219.4   1.4e-65 GTP-binding protein
* Spiro2_05365        K00382  460.93  599.4  8.2e-181 dihydrolipoyl dehydrogenase [EC:1.8.1.4]
* Spiro2_05375        K07335  105.90  286.6   5.7e-86 basic membrane protein A and related proteins
* Spiro2_05380        K01887  104.27  454.5  1.3e-136 arginyl-tRNA synthetase [EC:6.1.1.19]
* Spiro2_05385        K04485   93.87  607.9  2.5e-183 DNA repair protein RadA/Sms
* Spiro2_05410        K02342  103.33  188.7   2.1e-56 DNA polymerase III subunit epsilon [EC:2.7.7.7]
* Spiro2_05435        K02030   87.27  122.4   3.2e-36 polar amino acid transport system substrate-binding protein
* Spiro2_05450        K02028  388.77  390.8  1.3e-117 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* Spiro2_05465        K06188  252.40  370.4    1e-111 aquaporin Z
* Spiro2_05470        K01627  190.57  369.4  2.3e-111 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
* Spiro2_05510        K01754  262.40  375.2    9e-113 threonine dehydratase [EC:4.3.1.19]
* Spiro2_05530        K05833  177.63  242.4   6.1e-73 putative tryptophan/tyrosine transport system ATP-binding protein
* Spiro2_05540        K01989  119.63  247.2   2.9e-74 putative tryptophan/tyrosine transport system substrate-binding protein
* Spiro2_05545        K01356  132.97  145.2   4.4e-43 repressor LexA [EC:3.4.21.88]
* Spiro2_05550        K00791  181.77  270.5   4.5e-81 tRNA dimethylallyltransferase [EC:2.5.1.75]
* Spiro2_05555        K03572  417.53  559.6  1.1e-168 DNA mismatch repair protein MutL
* Spiro2_05570        K01698   98.03  526.4    2e-158 porphobilinogen synthase [EC:4.2.1.24]
* Spiro2_05575        K01358   46.67  353.9  2.3e-106 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* Spiro2_05580        K03544  144.87  626.2  6.4e-189 ATP-dependent Clp protease ATP-binding subunit ClpX
* Spiro2_05585        K01338  858.03  949.3  3.7e-286 ATP-dependent Lon protease [EC:3.4.21.53]
* Spiro2_05590        K01167   42.20   63.8   3.6e-18 ribonuclease T1 [EC:4.6.1.24]
* Spiro2_05595        K01772   60.87  317.7     2e-95 protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]
* Spiro2_05600        K03702  342.30 1096.6         0 excinuclease ABC subunit B
* Spiro2_05610        K03412  201.00  401.2  1.1e-120 two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]
* Spiro2_05635        K01893  361.67  672.3  8.4e-203 asparaginyl-tRNA synthetase [EC:6.1.1.22]
* Spiro2_05645        K18138 1085.10 1254.3         0 multidrug efflux pump
* Spiro2_05650        K03585  262.33  287.8   2.6e-86 membrane fusion protein, multidrug efflux system
* Spiro2_05665        K02050  143.60  229.9   7.9e-69 NitT/TauT family transport system permease protein
* Spiro2_05670        K05526  105.70  124.0   8.4e-37 succinylglutamate desuccinylase [EC:3.5.1.96]
* Spiro2_05680        K02902   20.83   75.4   8.6e-22 large subunit ribosomal protein L28
* Spiro2_05685        K01338  858.03  916.2  3.8e-276 ATP-dependent Lon protease [EC:3.4.21.53]
* Spiro2_05690        K04487  280.90  378.8  4.9e-114 cysteine desulfurase [EC:2.8.1.7]
* Spiro2_05710        K07124  228.07  316.6   3.3e-95 uncharacterized protein
* Spiro2_05720        K10563  199.80  244.5   3.3e-73 formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
* Spiro2_05725        K01809   30.80   35.2   1.1e-09 mannose-6-phosphate isomerase [EC:5.3.1.8]
* Spiro2_05730        K07315  144.10  171.8   2.9e-51 phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
* Spiro2_05735        K01586  271.60  331.9   1.3e-99 diaminopimelate decarboxylase [EC:4.1.1.20]
* Spiro2_05780        K03885  201.33  443.7  1.5e-133 NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
* Spiro2_05785        K00857   77.97  196.5   1.3e-58 thymidine kinase [EC:2.7.1.21]
* Spiro2_05790        K01626   47.00  369.9  5.4e-111 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
* Spiro2_05795        K06153   46.57  310.6   2.1e-93 undecaprenyl-diphosphatase [EC:3.6.1.27]
* Spiro2_05800        K02836  369.23  504.2  5.8e-152 peptide chain release factor 2
* Spiro2_05805        K00759   97.73  204.5   3.3e-61 adenine phosphoribosyltransferase [EC:2.4.2.7]
* Spiro2_05810        K03442  239.23  315.0   9.3e-95 small conductance mechanosensitive channel
* Spiro2_05815        K00800  134.50  344.4  1.9e-103 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
* Spiro2_05820        K01736  217.73  522.6  1.7e-157 chorismate synthase [EC:4.2.3.5]
* Spiro2_05830        K04750   54.23   72.5   5.7e-21 PhnB protein
* Spiro2_05840        K15777  168.13  300.3   3.8e-90 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]
* Spiro2_05845        K06911   31.27  155.4   3.8e-46 quercetin 2,3-dioxygenase [EC:1.13.11.24]
* Spiro2_05860        K03529  560.03  805.8  9.6e-243 chromosome segregation protein
* Spiro2_05865        K01969  771.53  946.6  2.1e-285 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
* Spiro2_05875        K13766  268.43  272.7   4.5e-82 methylglutaconyl-CoA hydratase [EC:4.2.1.18]
* Spiro2_05885        K00253  485.53  518.5  2.3e-156 isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
* Spiro2_05900        K07180  282.87  909.6  1.5e-274 serine protein kinase
* Spiro2_05905        K09786  177.30  408.0  7.5e-123 uncharacterized protein
* Spiro2_05910        K06415  259.63  605.6  1.8e-182 stage V sporulation protein R
* Spiro2_05935        K07107   62.10   63.1   5.7e-18 acyl-CoA thioester hydrolase [EC:3.1.2.-]
* Spiro2_05950        K03797  130.13  282.5   9.3e-85 carboxyl-terminal processing protease [EC:3.4.21.102]
* Spiro2_05955        K21567  376.57  420.9  4.5e-127 ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
* Spiro2_05970        K01673   18.77  202.0   2.5e-60 carbonic anhydrase [EC:4.2.1.1]
* Spiro2_05975        K13993   75.00  130.8   8.9e-39 HSP20 family protein
* Spiro2_05980        K09922   59.10  104.5   4.6e-31 uncharacterized protein
* Spiro2_05990        K17686  811.83  974.6  8.6e-294 P-type Cu+ transporter [EC:7.2.2.8]
* Spiro2_06000        K01881  177.33  347.9  1.5e-104 prolyl-tRNA synthetase [EC:6.1.1.15]
* Spiro2_06010        K01265  133.77  223.7   6.4e-67 methionyl aminopeptidase [EC:3.4.11.18]
* Spiro2_06080        K07459  137.83  319.5   7.5e-96 putative ATP-dependent endonuclease of the OLD family
* Spiro2_06115        K03782  482.97 1435.4         0 catalase-peroxidase [EC:1.11.1.21]
* Spiro2_06125        K03594   81.37  215.8   9.7e-65 bacterioferritin [EC:1.16.3.1]
* Spiro2_06135        K00231  147.90  234.9     3e-70 protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
* Spiro2_06145        K01358   46.67  250.9   4.2e-75 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* Spiro2_06150        K01961  714.10  759.5  2.5e-229 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
* Spiro2_06155        K02160   91.40  167.6   3.7e-50 acetyl-CoA carboxylase biotin carboxyl carrier protein
* Spiro2_06160        K02356   88.23  261.5   8.5e-79 elongation factor P
* Spiro2_06170        K00526  219.33  409.0  4.2e-123 ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
* Spiro2_06175        K00525  364.77  712.9  7.4e-215 ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
* Spiro2_06190        K02355  535.93 1068.0         0 elongation factor G
* Spiro2_06195        K01921  143.50  314.9   1.6e-94 D-alanine-D-alanine ligase [EC:6.3.2.4]
* Spiro2_06200        K03553   96.20  610.0  5.1e-184 recombination protein RecA
* Spiro2_06220        K02028  388.77  445.5  3.4e-134 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* Spiro2_06225        K02030   87.27  156.0   2.1e-46 polar amino acid transport system substrate-binding protein
* Spiro2_06230        K02029  214.40  262.6   9.2e-79 polar amino acid transport system permease protein
