locus_tag	ftype	length_bp	gene	EC_number	COG	product
BAMDCOFK_00393	CDS	1566	aldHT_1	1.2.1.5		Aldehyde dehydrogenase, thermostable
BAMDCOFK_00394	CDS	1779	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
BAMDCOFK_00395	CDS	1284				hypothetical protein
BAMDCOFK_00396	CDS	756	aas	6.2.1.20		Bifunctional protein Aas
BAMDCOFK_00397	CDS	1302	coaBC	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
BAMDCOFK_00398	CDS	915	speE_1	2.5.1.16	COG0421	Polyamine aminopropyltransferase
BAMDCOFK_00399	tRNA	76				tRNA-Met(cat)
BAMDCOFK_00400	rRNA	1530				16S ribosomal RNA
BAMDCOFK_00401	tRNA	76				tRNA-Ala(tgc)
BAMDCOFK_00402	rRNA	2888				23S ribosomal RNA
BAMDCOFK_00403	rRNA	77				5S ribosomal RNA (partial)
BAMDCOFK_00404	CDS	399		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
BAMDCOFK_00405	CDS	1128				hypothetical protein
BAMDCOFK_00406	CDS	462				hypothetical protein
BAMDCOFK_00407	CDS	786	scpA_1		COG1354	Segregation and condensation protein A
BAMDCOFK_00408	CDS	1062				hypothetical protein
BAMDCOFK_00409	CDS	444	rplM			50S ribosomal protein L13
BAMDCOFK_00410	CDS	396	rpsI		COG0103	30S ribosomal protein S9
BAMDCOFK_00411	CDS	786				hypothetical protein
BAMDCOFK_00412	CDS	801				hypothetical protein
BAMDCOFK_00413	CDS	981	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BAMDCOFK_00414	CDS	2070				hypothetical protein
BAMDCOFK_00415	CDS	1590	pepA_1	3.4.11.1	COG0260	Cytosol aminopeptidase
BAMDCOFK_00416	CDS	885	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
BAMDCOFK_00417	CDS	852	glnH_1		COG0834	Glutamine-binding periplasmic protein
BAMDCOFK_00418	CDS	966				hypothetical protein
BAMDCOFK_00419	CDS	372	ytrA		COG1725	HTH-type transcriptional repressor YtrA
BAMDCOFK_00420	CDS	720	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BAMDCOFK_00421	CDS	1080				hypothetical protein
BAMDCOFK_00422	CDS	807	yafV	3.5.1.3		Omega-amidase YafV
BAMDCOFK_00423	CDS	651				hypothetical protein
BAMDCOFK_00424	CDS	453				hypothetical protein
BAMDCOFK_00425	CDS	1338				hypothetical protein
BAMDCOFK_00426	CDS	501				hypothetical protein
BAMDCOFK_00427	CDS	429				hypothetical protein
BAMDCOFK_00428	CDS	1935				hypothetical protein
BAMDCOFK_00429	CDS	531				hypothetical protein
BAMDCOFK_00430	CDS	495				hypothetical protein
BAMDCOFK_00431	CDS	681				hypothetical protein
BAMDCOFK_00432	CDS	1914	dnaK_1			Chaperone protein DnaK
BAMDCOFK_00433	CDS	669				hypothetical protein
BAMDCOFK_00434	CDS	684				hypothetical protein
BAMDCOFK_00435	CDS	1068				hypothetical protein
BAMDCOFK_00436	CDS	1365	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
BAMDCOFK_00437	CDS	918				hypothetical protein
BAMDCOFK_00438	CDS	924	hag_2		COG1344	Flagellin
BAMDCOFK_00439	CDS	963		1.6.5.11	COG2070	NADH:quinone reductase
BAMDCOFK_00440	CDS	204				hypothetical protein
BAMDCOFK_00441	CDS	816	caiD	4.2.1.149		Carnitinyl-CoA dehydratase
BAMDCOFK_00442	CDS	822				hypothetical protein
BAMDCOFK_00443	CDS	666	scpB			Segregation and condensation protein B
BAMDCOFK_00444	CDS	561				hypothetical protein
BAMDCOFK_00445	CDS	975	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
BAMDCOFK_00446	CDS	498	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
BAMDCOFK_00447	CDS	153	rpmH		COG0230	50S ribosomal protein L34
BAMDCOFK_00448	CDS	948	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
BAMDCOFK_00449	CDS	918				hypothetical protein
BAMDCOFK_00450	CDS	417	secE			Protein translocase subunit SecE
BAMDCOFK_00451	CDS	621	nusG		COG0250	Transcription termination/antitermination protein NusG
BAMDCOFK_00452	CDS	387				hypothetical protein
BAMDCOFK_00453	CDS	1176	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
BAMDCOFK_00454	CDS	1788				hypothetical protein
BAMDCOFK_00455	CDS	843				hypothetical protein
BAMDCOFK_00456	CDS	873				hypothetical protein
BAMDCOFK_00457	CDS	891				hypothetical protein
BAMDCOFK_00458	CDS	1704				hypothetical protein
BAMDCOFK_00459	CDS	1476				hypothetical protein
BAMDCOFK_00460	CDS	1017				hypothetical protein
BAMDCOFK_00461	CDS	303				hypothetical protein
BAMDCOFK_00462	CDS	3267	hisC	2.6.1.9		Histidinol-phosphate aminotransferase
BAMDCOFK_00463	CDS	1929	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
BAMDCOFK_00464	CDS	1110	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BAMDCOFK_00465	CDS	1008	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
BAMDCOFK_00466	CDS	4122				hypothetical protein
BAMDCOFK_00467	CDS	1911	frdA_1	1.3.5.4		Fumarate reductase flavoprotein subunit
BAMDCOFK_00468	CDS	231				hypothetical protein
BAMDCOFK_00469	CDS	411				hypothetical protein
BAMDCOFK_00470	CDS	1575				hypothetical protein
BAMDCOFK_00471	CDS	1554				hypothetical protein
BAMDCOFK_00472	CDS	411				hypothetical protein
BAMDCOFK_00473	CDS	582				hypothetical protein
BAMDCOFK_00474	CDS	915				hypothetical protein
BAMDCOFK_00475	CDS	2343	rhlB	3.6.4.13		ATP-dependent RNA helicase RhlB
BAMDCOFK_00476	CDS	444				hypothetical protein
BAMDCOFK_00477	CDS	1194	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
BAMDCOFK_00478	CDS	2379	fadN	1.1.1.35	COG1024	putative 3-hydroxyacyl-CoA dehydrogenase
BAMDCOFK_00479	CDS	360				hypothetical protein
BAMDCOFK_00480	CDS	3663	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
BAMDCOFK_00481	CDS	600				hypothetical protein
BAMDCOFK_00482	CDS	1038	bepA_3	3.4.-.-		Beta-barrel assembly-enhancing protease
BAMDCOFK_00483	CDS	570	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
BAMDCOFK_00484	CDS	879	dat	2.6.1.21		D-alanine aminotransferase
BAMDCOFK_00485	CDS	528				hypothetical protein
BAMDCOFK_00486	CDS	1575	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
BAMDCOFK_00487	CDS	522				hypothetical protein
BAMDCOFK_00488	CDS	828				hypothetical protein
BAMDCOFK_00489	CDS	414				hypothetical protein
BAMDCOFK_00490	CDS	957				hypothetical protein
BAMDCOFK_00491	CDS	888				hypothetical protein
BAMDCOFK_00492	CDS	2076	caiE			Carnitine operon protein CaiE
BAMDCOFK_00493	CDS	429				hypothetical protein
BAMDCOFK_00494	CDS	951	alx		COG0861	Putative membrane-bound redox modulator Alx
BAMDCOFK_00495	CDS	1215				hypothetical protein
BAMDCOFK_00496	CDS	648				hypothetical protein
BAMDCOFK_00497	CDS	1182				hypothetical protein
BAMDCOFK_00498	tRNA	87				tRNA-Leu(cag)
BAMDCOFK_00499	CDS	717	rph	2.7.7.56	COG0689	Ribonuclease PH
BAMDCOFK_00500	CDS	1371	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
BAMDCOFK_00501	CDS	2052	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
BAMDCOFK_00502	CDS	1353	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
BAMDCOFK_00503	CDS	1461	tldD	3.4.-.-	COG0312	Metalloprotease TldD
BAMDCOFK_00504	CDS	735				hypothetical protein
BAMDCOFK_00505	CDS	1812	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
BAMDCOFK_00506	CDS	747	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
BAMDCOFK_00507	CDS	561	rimM			Ribosome maturation factor RimM
BAMDCOFK_00508	CDS	360				hypothetical protein
BAMDCOFK_00509	CDS	990				hypothetical protein
BAMDCOFK_00510	CDS	1341	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
BAMDCOFK_00511	CDS	1017	cydB_1	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
BAMDCOFK_00512	CDS	3066				hypothetical protein
BAMDCOFK_00513	CDS	1038				hypothetical protein
BAMDCOFK_00514	CDS	1446				hypothetical protein
BAMDCOFK_00515	CDS	1038				hypothetical protein
BAMDCOFK_00516	CDS	414				hypothetical protein
BAMDCOFK_00517	CDS	1194	yfeW_1	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
BAMDCOFK_00518	CDS	879				hypothetical protein
BAMDCOFK_00519	CDS	375	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BAMDCOFK_00520	CDS	1521	hldE		COG2870	Bifunctional protein HldE
BAMDCOFK_00521	CDS	678				hypothetical protein
BAMDCOFK_00522	CDS	1860				hypothetical protein
BAMDCOFK_00523	CDS	252				hypothetical protein
BAMDCOFK_00524	CDS	672				hypothetical protein
BAMDCOFK_00525	CDS	777				queuosine precursor transporter
BAMDCOFK_00526	CDS	1197				queuosine precursor transporter
BAMDCOFK_00527	CDS	258				hypothetical protein
BAMDCOFK_00528	CDS	1032				hypothetical protein
BAMDCOFK_00529	CDS	1203	hemW		COG0635	Heme chaperone HemW
BAMDCOFK_00530	CDS	2148				hypothetical protein
BAMDCOFK_00531	CDS	1245				hypothetical protein
BAMDCOFK_00532	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
BAMDCOFK_00533	CDS	750	bcrA			Bacitracin transport ATP-binding protein BcrA
BAMDCOFK_00534	CDS	837				hypothetical protein
BAMDCOFK_00535	CDS	792				hypothetical protein
BAMDCOFK_00536	CDS	885				hypothetical protein
BAMDCOFK_00537	CDS	1221	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
BAMDCOFK_00538	CDS	1074	ltaE	4.1.2.48		Low specificity L-threonine aldolase
BAMDCOFK_00539	CDS	783	yxeM		COG0834	putative amino-acid-binding protein YxeM
BAMDCOFK_00540	CDS	822				hypothetical protein
BAMDCOFK_00541	CDS	1209	bcr_1			Bicyclomycin resistance protein
BAMDCOFK_00542	CDS	1536	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
BAMDCOFK_00543	CDS	1608	ffh		COG0541	Signal recognition particle protein
BAMDCOFK_00544	CDS	948	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
BAMDCOFK_00545	CDS	840	map	3.4.11.18	COG0024	Methionine aminopeptidase
BAMDCOFK_00546	CDS	711				hypothetical protein
BAMDCOFK_00547	CDS	1257	mdtL_1			Multidrug resistance protein MdtL
BAMDCOFK_00548	CDS	2361	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
BAMDCOFK_00549	CDS	783	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
BAMDCOFK_00550	CDS	1437				hypothetical protein
BAMDCOFK_00551	CDS	1455				hypothetical protein
BAMDCOFK_00552	CDS	1095	lysDH	1.4.1.18		Lysine 6-dehydrogenase
BAMDCOFK_00553	CDS	1353	arcA	3.5.3.6	COG2235	Arginine deiminase
BAMDCOFK_00554	CDS	2040	mltC	4.2.2.-		Membrane-bound lytic murein transglycosylase C
BAMDCOFK_00555	CDS	615				hypothetical protein
BAMDCOFK_00556	CDS	954	bpsA	2.5.1.128		N(4)-bis(aminopropyl)spermidine synthase
BAMDCOFK_00557	CDS	690				hypothetical protein
BAMDCOFK_00558	CDS	1719	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
BAMDCOFK_00559	CDS	699	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
BAMDCOFK_00560	CDS	1641	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
BAMDCOFK_00561	CDS	258				hypothetical protein
BAMDCOFK_00562	CDS	1155	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
BAMDCOFK_00563	CDS	252	acpP		COG0236	Acyl carrier protein
BAMDCOFK_00564	CDS	456	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
BAMDCOFK_00565	CDS	1287	glyA	2.1.2.1		Serine hydroxymethyltransferase
BAMDCOFK_00566	CDS	1305				hypothetical protein
BAMDCOFK_00567	CDS	489	nrdR		COG1327	Transcriptional repressor NrdR
BAMDCOFK_00568	CDS	657	ribE	2.5.1.9	COG0307	Riboflavin synthase
BAMDCOFK_00569	CDS	1638				hypothetical protein
BAMDCOFK_00570	CDS	540	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
BAMDCOFK_00571	CDS	549	rplY			50S ribosomal protein L25
BAMDCOFK_00572	CDS	486	pal		COG2885	Peptidoglycan-associated lipoprotein
BAMDCOFK_00573	CDS	783				hypothetical protein
BAMDCOFK_00574	CDS	2679				hypothetical protein
BAMDCOFK_00575	CDS	579				hypothetical protein
BAMDCOFK_00576	CDS	1056				hypothetical protein
BAMDCOFK_00577	CDS	642				hypothetical protein
BAMDCOFK_00578	CDS	951				hypothetical protein
BAMDCOFK_00579	CDS	1017				hypothetical protein
BAMDCOFK_00580	CDS	2457				hypothetical protein
BAMDCOFK_00581	CDS	3534	mfd	3.6.4.-		Transcription-repair-coupling factor
BAMDCOFK_00582	CDS	1020	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
BAMDCOFK_00583	CDS	969	ravA	3.6.3.-		ATPase RavA
BAMDCOFK_00584	CDS	519	gph_1	3.1.3.18		Phosphoglycolate phosphatase
BAMDCOFK_00585	CDS	513				hypothetical protein
BAMDCOFK_00586	tRNA	83				tRNA-Leu(gag)
BAMDCOFK_00587	CDS	1575	rny_1	3.1.-.-	COG1418	Ribonuclease Y
BAMDCOFK_00588	CDS	930	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
BAMDCOFK_00589	CDS	1470				hypothetical protein
BAMDCOFK_00590	CDS	582	mglA		COG1100	Mutual gliding-motility protein MglA
BAMDCOFK_00591	CDS	1083	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
BAMDCOFK_00592	CDS	927				hypothetical protein
BAMDCOFK_00593	CDS	489	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
BAMDCOFK_00594	CDS	198				hypothetical protein
BAMDCOFK_00595	CDS	456	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
BAMDCOFK_00596	tRNA	76				tRNA-Trp(cca)
BAMDCOFK_00597	CDS	273				hypothetical protein
BAMDCOFK_00598	CDS	822	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
BAMDCOFK_00599	CDS	900	htpX	3.4.24.-	COG0501	Protease HtpX
BAMDCOFK_00600	CDS	1149				hypothetical protein
BAMDCOFK_00601	CDS	837	nit1	3.5.1.128		Deaminated glutathione amidase
BAMDCOFK_00602	CDS	1545	nanT			Sialic acid transporter NanT
BAMDCOFK_00603	CDS	924				hypothetical protein
BAMDCOFK_00604	CDS	882				hypothetical protein
BAMDCOFK_00605	CDS	957				hypothetical protein
BAMDCOFK_00606	CDS	897				hypothetical protein
BAMDCOFK_00607	CDS	906				hypothetical protein
BAMDCOFK_00608	CDS	933				hypothetical protein
BAMDCOFK_00609	CDS	1071				hypothetical protein
BAMDCOFK_00610	CDS	612				hypothetical protein
BAMDCOFK_00611	CDS	168				hypothetical protein
BAMDCOFK_00612	CDS	1668				hypothetical protein
BAMDCOFK_00613	CDS	699	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
BAMDCOFK_00614	CDS	1158	mtnW	5.3.2.5	COG1850	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
BAMDCOFK_00615	CDS	1098	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
BAMDCOFK_00616	CDS	876	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
BAMDCOFK_00617	CDS	1020				hypothetical protein
BAMDCOFK_00618	CDS	513				hypothetical protein
BAMDCOFK_00619	CDS	1188	tufA		COG0050	Elongation factor Tu
BAMDCOFK_00620	CDS	1098				hypothetical protein
BAMDCOFK_00621	CDS	540				hypothetical protein
BAMDCOFK_00622	CDS	549				hypothetical protein
BAMDCOFK_00623	CDS	717				hypothetical protein
BAMDCOFK_00624	CDS	528	greB		COG0782	Transcription elongation factor GreB
BAMDCOFK_00625	CDS	3606				hypothetical protein
BAMDCOFK_00626	CDS	1263				hypothetical protein
BAMDCOFK_00627	CDS	666				hypothetical protein
BAMDCOFK_00628	CDS	828				hypothetical protein
BAMDCOFK_00629	CDS	1644	appA			Oligopeptide-binding protein AppA
BAMDCOFK_00630	CDS	1035	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
BAMDCOFK_00631	CDS	1005	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
BAMDCOFK_00632	CDS	807	mnmC	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
BAMDCOFK_00633	CDS	504				hypothetical protein
BAMDCOFK_00634	CDS	1479				hypothetical protein
BAMDCOFK_00635	CDS	1824	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
BAMDCOFK_00636	CDS	555	infC		COG0290	Translation initiation factor IF-3
BAMDCOFK_00637	CDS	150				hypothetical protein
BAMDCOFK_00638	tRNA	86				tRNA-Leu(caa)
BAMDCOFK_00639	CDS	468				hypothetical protein
BAMDCOFK_00640	CDS	1008				hypothetical protein
BAMDCOFK_00641	CDS	765				hypothetical protein
BAMDCOFK_00642	CDS	654				hypothetical protein
BAMDCOFK_00643	CDS	315				hypothetical protein
BAMDCOFK_00644	CDS	483				hypothetical protein
BAMDCOFK_00645	CDS	762				hypothetical protein
BAMDCOFK_00646	CDS	501	greA		COG0782	Transcription elongation factor GreA
BAMDCOFK_00647	CDS	249				hypothetical protein
BAMDCOFK_00648	CDS	900	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
BAMDCOFK_00649	CDS	480				hypothetical protein
BAMDCOFK_00650	CDS	357				hypothetical protein
BAMDCOFK_00651	CDS	882	rnhB			Ribonuclease HII
BAMDCOFK_00652	CDS	327	trxA			Thioredoxin
BAMDCOFK_00653	CDS	879	rapZ		COG1660	RNase adapter protein RapZ
BAMDCOFK_00654	CDS	444				hypothetical protein
BAMDCOFK_00655	CDS	1416	rpoN		COG1508	RNA polymerase sigma-54 factor
BAMDCOFK_00656	CDS	882	hag_3		COG1344	Flagellin
BAMDCOFK_00657	CDS	852	hag_4		COG1344	Flagellin
BAMDCOFK_00658	CDS	1170	aspC_1	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
BAMDCOFK_00659	CDS	1131				hypothetical protein
BAMDCOFK_00660	CDS	693				hypothetical protein
BAMDCOFK_00661	CDS	1875				hypothetical protein
BAMDCOFK_00662	CDS	1053	xerC_1			Tyrosine recombinase XerC
BAMDCOFK_00663	CDS	1038	galK	2.7.1.6		Galactokinase
BAMDCOFK_00664	CDS	1206				hypothetical protein
BAMDCOFK_00665	CDS	1011				hypothetical protein
BAMDCOFK_00666	CDS	1314	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
BAMDCOFK_00667	CDS	1104	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
BAMDCOFK_00668	CDS	618				hypothetical protein
BAMDCOFK_00669	CDS	639				hypothetical protein
BAMDCOFK_00670	CDS	1725				hypothetical protein
BAMDCOFK_00671	CDS	234				hypothetical protein
BAMDCOFK_00672	CDS	699	glmU_2	2.7.7.23		Bifunctional protein GlmU
BAMDCOFK_00673	CDS	747	artI_2		COG0834	Putative ABC transporter arginine-binding protein 2
BAMDCOFK_00674	CDS	1563				hypothetical protein
BAMDCOFK_00675	CDS	159				hypothetical protein
BAMDCOFK_00676	CDS	207				hypothetical protein
BAMDCOFK_00677	CDS	4389				hypothetical protein
BAMDCOFK_00678	CDS	1218	alr	5.1.1.1		Alanine racemase
BAMDCOFK_00679	CDS	1173	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
BAMDCOFK_00680	CDS	1275	tgt_1	2.4.2.29		Queuine tRNA-ribosyltransferase
BAMDCOFK_00681	CDS	297				hypothetical protein
BAMDCOFK_00682	CDS	636				hypothetical protein
BAMDCOFK_00683	CDS	966				hypothetical protein
BAMDCOFK_00684	CDS	387				hypothetical protein
BAMDCOFK_00685	CDS	2238	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
BAMDCOFK_00686	CDS	372	cheY_3		COG0784	Chemotaxis protein CheY 
BAMDCOFK_00687	CDS	639				hypothetical protein
BAMDCOFK_00688	CDS	207	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
BAMDCOFK_00689	CDS	432				hypothetical protein
BAMDCOFK_00690	CDS	105				hypothetical protein
BAMDCOFK_00691	CDS	147				hypothetical protein
BAMDCOFK_00692	CDS	891				hypothetical protein
BAMDCOFK_00693	CDS	2664	plsB	2.3.1.15		Glycerol-3-phosphate acyltransferase
BAMDCOFK_00694	CDS	621	panC_1	6.3.2.1	COG0414	Pantothenate synthetase
BAMDCOFK_00695	CDS	249	panC_2	6.3.2.1	COG0414	Pantothenate synthetase
BAMDCOFK_00696	CDS	1902	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
BAMDCOFK_00697	CDS	570				hypothetical protein
BAMDCOFK_00698	CDS	309	trpR			Trp operon repressor
BAMDCOFK_00699	CDS	711				hypothetical protein
BAMDCOFK_00700	CDS	462				hypothetical protein
BAMDCOFK_00701	CDS	1344				hypothetical protein
BAMDCOFK_00702	CDS	687				hypothetical protein
BAMDCOFK_00703	CDS	1350	hflX_1		COG2262	GTPase HflX
BAMDCOFK_00704	CDS	321				hypothetical protein
BAMDCOFK_00705	CDS	1674	murB	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
BAMDCOFK_00706	CDS	441				hypothetical protein
BAMDCOFK_00707	CDS	786	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
BAMDCOFK_00708	CDS	528				hypothetical protein
BAMDCOFK_00709	CDS	1122				hypothetical protein
BAMDCOFK_00710	CDS	513				hypothetical protein
BAMDCOFK_00711	CDS	726	rssB_1			Regulator of RpoS
BAMDCOFK_00712	CDS	873	cheR	2.1.1.80		Chemotaxis protein methyltransferase
BAMDCOFK_00713	CDS	1365				hypothetical protein
BAMDCOFK_00714	CDS	1011	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
BAMDCOFK_00715	CDS	2088	dnaK_2			Chaperone protein DnaK
BAMDCOFK_00716	CDS	1413				hypothetical protein
BAMDCOFK_00717	CDS	480				hypothetical protein
BAMDCOFK_00718	CDS	1134		2.4.-.-		putative glycosyltransferase
BAMDCOFK_00719	CDS	1098				hypothetical protein
BAMDCOFK_00720	CDS	1296				hypothetical protein
BAMDCOFK_00721	CDS	777				hypothetical protein
BAMDCOFK_00722	CDS	834				hypothetical protein
BAMDCOFK_00723	CDS	822	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
BAMDCOFK_00724	CDS	477				hypothetical protein
BAMDCOFK_00725	CDS	1365				hypothetical protein
BAMDCOFK_00726	CDS	957				hypothetical protein
BAMDCOFK_00727	CDS	1572	bepA_4	3.4.-.-		Beta-barrel assembly-enhancing protease
BAMDCOFK_00728	CDS	387				hypothetical protein
BAMDCOFK_00729	CDS	945	tsf		COG0264	Elongation factor Ts
BAMDCOFK_00730	CDS	792	rpsB		COG0052	30S ribosomal protein S2
BAMDCOFK_00731	CDS	1947	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
BAMDCOFK_00732	CDS	492	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
BAMDCOFK_00733	CDS	381				hypothetical protein
BAMDCOFK_00734	CDS	240				hypothetical protein
BAMDCOFK_00735	CDS	192				hypothetical protein
BAMDCOFK_00736	CDS	228				hypothetical protein
BAMDCOFK_00737	CDS	144				hypothetical protein
BAMDCOFK_00738	CDS	858				hypothetical protein
BAMDCOFK_00739	CDS	1215				hypothetical protein
BAMDCOFK_00740	CDS	999	lipA	2.8.1.8	COG0320	Lipoyl synthase
BAMDCOFK_00741	CDS	1104				hypothetical protein
BAMDCOFK_00742	CDS	2247				hypothetical protein
BAMDCOFK_00743	CDS	1095	atoC_2		COG2204	Regulatory protein AtoC
BAMDCOFK_00744	CDS	432	flgB		COG1815	Flagellar basal body rod protein FlgB
BAMDCOFK_00745	CDS	438	flgC		COG1558	Flagellar basal-body rod protein FlgC
BAMDCOFK_00746	CDS	336	fliE			Flagellar hook-basal body complex protein FliE
BAMDCOFK_00747	CDS	1608	fliF		COG1766	Flagellar M-ring protein
BAMDCOFK_00748	CDS	435				hypothetical protein
BAMDCOFK_00749	CDS	531				hypothetical protein
BAMDCOFK_00750	CDS	1488				hypothetical protein
BAMDCOFK_00751	CDS	561				hypothetical protein
BAMDCOFK_00752	CDS	414				hypothetical protein
BAMDCOFK_00753	CDS	1749				hypothetical protein
BAMDCOFK_00754	CDS	774				hypothetical protein
BAMDCOFK_00755	CDS	1083				hypothetical protein
BAMDCOFK_00756	CDS	405				hypothetical protein
BAMDCOFK_00757	CDS	897	eamA		COG0697	putative amino-acid metabolite efflux pump
BAMDCOFK_00758	CDS	429				hypothetical protein
BAMDCOFK_00759	CDS	894				hypothetical protein
BAMDCOFK_00760	CDS	1665				hypothetical protein
BAMDCOFK_00761	CDS	3882				hypothetical protein
BAMDCOFK_00762	CDS	753				hypothetical protein
BAMDCOFK_00763	CDS	1356				hypothetical protein
BAMDCOFK_00764	CDS	582				hypothetical protein
BAMDCOFK_00765	CDS	621				hypothetical protein
BAMDCOFK_00766	CDS	1479	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
BAMDCOFK_00767	CDS	972	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
BAMDCOFK_00768	CDS	2529				hypothetical protein
BAMDCOFK_00769	CDS	1185				hypothetical protein
BAMDCOFK_00770	CDS	330				hypothetical protein
BAMDCOFK_00771	CDS	1065	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
BAMDCOFK_00772	CDS	1053	sohB	3.4.21.-	COG0616	putative protease SohB
BAMDCOFK_00773	CDS	1944	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
BAMDCOFK_00774	CDS	1755	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
BAMDCOFK_00775	CDS	891	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
BAMDCOFK_00776	CDS	996				hypothetical protein
BAMDCOFK_00777	CDS	1011	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
BAMDCOFK_00778	CDS	963				hypothetical protein
BAMDCOFK_00779	CDS	459				hypothetical protein
